Req ID,Source,Section,Subsection,Subsection Title,Specification,Simple Description,Relation To,Milestone,Timing/Deadline,Category,Deliverable Type,Responsibility,Notes,Due Date,Status,Status Notes,Location,WSDOT Lead,Column1
002-006,Technical Requirements (RFP Chapter 2),2.1 General Information,2.1.5.7.4.3,Project Document Control System at Completion,A final file structure and index for the electronic archived documents shall be provided prior to Completion.,Provide final file structure and index for archived documents,Prior to,Completion,Prior to Completion,Closeout/Final Records,Records,Design-Builder,Part of document control closeout; Completion milestone trigger,,Not Started,,,DH,
002-007,Technical Requirements (RFP Chapter 2),2.1 General Information,2.1.5.7.4.3,Project Document Control System at Completion,Written instructions and procedures for use of the Design-Builder's software pertaining to the archived documents shall also be provided prior to Completion.,Provide written instructions for using archived documents software,Prior to,Completion,Prior to Completion,Operations & Maintenance,Manuals,Design-Builder,Enables WSDOT to access archived documents; Completion milestone trigger,,Not Started,,,DH,
002-008,Technical Requirements (RFP Chapter 2),2.5 Surveys and Mapping,2.5.6.1,Survey Records and Submittals,"A hard copy and an electronic file of the survey records shall be submitted to WSDOT prior to Physical Completion. Electronic data and files shall be collected, processed, formatted and submitted in accordance with the WSDOT Electronic Engineering Data Standards (Appendix D18).",Submit hard copy and electronic file of survey records,Prior to,Physical Completion,Prior to Physical Completion,Closeout/Final Records,Records,Design-Builder,Electronic data per WSDOT standards; milestone trigger takes precedence,,In Progress,,,JV,
002-009,Technical Requirements (RFP Chapter 2),2.5 Surveys and Mapping,2.5.6.2,Field Books,All field books shall become the property of WSDOT at Physical Completion.,Transfer all field books to WSDOT,At,Physical Completion,At Physical Completion,Physical Work,Records,Design-Builder,Field books become WSDOT property; milestone trigger,,In Progress,,,JV,
002-010,Technical Requirements (RFP Chapter 2),2.5 Surveys and Mapping,2.5.6.7.2,Post-Construction As-Built Survey Reports,As-built survey files shall be submitted to WSDOT for the Project prior to Physical Completion.,Submit as-built survey files,Prior to,Physical Completion,Prior to Physical Completion,Closeout/Final Records,As-Built Plans/Drawings,Design-Builder,Contains as-built keyword; milestone trigger takes precedence over handover keyword,,In Progress,,,JV,
002-011,Technical Requirements (RFP Chapter 2),2.5 Surveys and Mapping,2.5.6.8,Post-Construction Record of Survey,"Two conformed 18-inch by 24-inch copies that include the county's recording numbers, and an electronic file, shall be submitted to WSDOT prior to Physical Completion. The electronic format shall be compatible with WSDOT's format. Electronic data and files shall be collected, processed, formatted, and submitted in accordance with the WSDOT Electronic Engineering Data Standards (Appendix D18).",Submit conformed copies and electronic file of Post Construction Record of Survey,Prior to,Physical Completion,Prior to Physical Completion,Closeout/Final Records,Records,Design-Builder,Two 18x24 copies with county recording numbers; electronic per WSDOT standards; contains record keyword but milestone trigger takes precedence,,In Progress,,,JV,
002-012,Technical Requirements (RFP Chapter 2),2.6 Geotechnical,2.6.4.3,Subsurface Investigation Samples,"The Design-Builder shall retain, store, and protect all soil and rock samples from field explorations performed as part of the Work. These samples shall be retained until Physical Completion.",Retain and store all soil and rock samples until Physical Completion,Until,Physical Completion,Until Physical Completion,Quality & Compliance,Records,Design-Builder,Samples may be delivered to WSDOT State Materials Laboratory if requested,,In Progress,,,JV,
002-013,Technical Requirements (RFP Chapter 2),2.6 Geotechnical,2.6.4.4,Subsurface Investigation Abandonment,"Except for the locations listed in this Section, the Design-Builder shall abandon and backfill all existing and new bore holes, inclinometers, piezometers, wells, hand holes, test pits, and CPT holes within the Project Limits. Backfilling and abandonment shall be completed prior to Physical Completion.","Abandon and backfill all bore holes, inclinometers, piezometers, wells, hand holes, test pits, and CPT holes",Prior to,Physical Completion,Prior to Physical Completion,Physical Work,Construction Activities,Design-Builder,"Specific wells to be protected and accessible: H-612p-11, H-667p-15, H-19p-06, H-554p-11, and H-512p-11",,In Progress,,,JV,
002-014,Technical Requirements (RFP Chapter 2),2.6 Geotechnical,2.6.9.8,Final Geotechnical Documentation Package,"The Design-Builder shall prepare a Final Geotechnical Documentation Package that includes all final field notes, field testing, instrumentation data, laboratory results, geotechnical reports/technical memoranda, and calculation packages. The Final Geotechnical Documentation Package shall include the stamp and signature of a Professional Engineer licensed under Title 18 RCW.","Submit Final Geotechnical Documentation Package with all field notes, testing data, reports, and calculations",Upon,Handover,Upon completion of the Work,Testing & Commissioning,Records,Design-Builder,"Package must include PE stamp and signature; submitted with Final Design Documents; found via handover keywords: final, documentation, package",,Not Started,,,JV,
002-015,Technical Requirements (RFP Chapter 2),2.6 Geotechnical,2.6.9.6,Groundwater Control Plan for Dewatering,"The Design-Builder shall submit the following records prior to Physical Completion: • Decommissioning (abandonment) reports for dewatering wells, well points, and observation wells installed by the Contractor.","Submit decommissioning reports for dewatering wells, well points, and observation wells",Prior to,Physical Completion,Prior to Physical Completion,Testing & Commissioning,Reports,Design-Builder,Applies to all dewatering systems installed by the Contractor,,In Progress,,,JV,
002-016,Technical Requirements (RFP Chapter 2),2.7 Pavement,2.7.3.2.5,Special Pavement Design Section Over Montlake Lid Bridge North and South Pier Walls,Cement concrete pavement placed over the pier walls shall not vary more than 1/8 inch in 10 feet during a two-year Warranty period following Physical Completion. Cement concrete pavement panels that are cracked during the two-year Warranty period following Physical Completion shall be replaced.,Replace cracked pavement panels during two-year warranty period,During,Handover,During two-year warranty period,Quality & Compliance,Construction Activities,Design-Builder,Two-year warranty obligation; applies to pavement over Montlake Lid Bridge pier walls; found via handover keyword: warranty,,In Progress,,,"RB, JV",
002-017,Technical Requirements (RFP Chapter 2),2.8 Environmental,2.8.3.2.1,Environmental Compliance Manager,"The Environmental Compliance Manager shall be assigned to the Project and be on Site full-time to provide assistance and oversight through Physical Completion, including the submittal of the Environmental Commitment Close-Out Report.",Environmental Compliance Manager on-Site full-time through Physical Completion including submittal of Close-Out Report,Through,Physical Completion,Through Physical Completion,Quality & Compliance,Service/Maintenance,Design-Builder,Includes responsibility for Environmental Commitment Close-Out Report,,In Progress,,,SA,
